state.id,state,region,month,year,summer
10,Durango,Norte,11,2017,No
11,Guanajuato,Sur,11,2017,No
12,Guerrero,Sur,11,2017,No
13,Hidalgo,Central,11,2017,No
14,Jalisco,Sur,11,2017,No
15,Mexico,Central,11,2017,No
16,Michoacan,Sur,11,2017,No
17,Morelos,Central,11,2017,No
18,Nayarit,Sur,11,2017,No
19,Nuevo Leon,Noreste,11,2017,No
20,Oaxaca,Sur,11,2017,No
21,Puebla,Central,11,2017,No
22,Queretaro,Sur,11,2017,No
23,Quintana Roo,Peninsular,11,2017,No
24,San Luis Potosi,Noreste,11,2017,No
25,Sinaloa,Noroeste,11,2017,No
26,Sonora,Noroeste,11,2017,No
27,Tabasco,Sur,11,2017,No
28,Tamaulipas,Noreste,11,2017,No
29,Tlaxcala,Central,11,2017,No
30,Veracruz,Sur,11,2017,No
31,Yucatan,Peninsular,11,2017,No
32,Zacatecas,Norte,11,2017,No
1,Aguascalientes,Sur,12,2017,No
2,Baja California,Baja California,12,2017,No
3,Baja California Sur,Baja California Sur,12,2017,No
4,Campeche,Peninsular,12,2017,No
5,Coahuila,Noreste,12,2017,No
6,Colima,Sur,12,2017,No
7,Chiapas,Sur,12,2017,No
8,Chihuahua,Norte,12,2017,No
9,Mexico City,Central,12,2017,No
10,Durango,Norte,12,2017,No
11,Guanajuato,Sur,12,2017,No
12,Guerrero,Sur,12,2017,No
13,Hidalgo,Central,12,2017,No
14,Jalisco,Sur,12,2017,No
15,Mexico,Central,12,2017,No
16,Michoacan,Sur,12,2017,No
17,Morelos,Central,12,2017,No
18,Nayarit,Sur,12,2017,No
19,Nuevo Leon,Noreste,12,2017,No
20,Oaxaca,Sur,12,2017,No
21,Puebla,Central,12,2017,No
22,Queretaro,Sur,12,2017,No
23,Quintana Roo,Peninsular,12,2017,No
24,San Luis Potosi,Noreste,12,2017,No
25,Sinaloa,Noroeste,12,2017,No
26,Sonora,Noroeste,12,2017,No
27,Tabasco,Sur,12,2017,No
28,Tamaulipas,Noreste,12,2017,No
29,Tlaxcala,Central,12,2017,No
30,Veracruz,Sur,12,2017,No
31,Yucatan,Peninsular,12,2017,No
32,Zacatecas,Norte,12,2017,No
