"","agem","folio","nom_mun","lat_decimal","lon_decimal","altitud","region.tariff","tariff","summer"
"18939",22006,19249,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18940",22006,19248,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18941",22006,19216,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18942",22006,19245,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18943",22006,19257,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18944",22006,19357,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18945",22006,19253,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18946",22006,19363,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18947",22006,19259,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18948",22006,19220,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18949",22006,19235,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18950",22006,19239,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18951",22006,19238,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18952",22006,19234,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18953",22006,19233,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18954",22006,19362,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18955",22006,19215,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18956",22006,19232,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18957",22006,19359,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18958",22006,19209,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18959",22006,19208,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18960",22006,19229,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18961",22006,19241,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18962",22006,19361,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18963",22006,19237,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18964",22006,19240,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18965",22006,19214,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18966",22006,19213,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18967",22006,19355,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18968",22006,19219,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18969",22006,19242,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18970",22006,19212,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18971",22006,19210,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
